"","text","creation_time","isRetweet","retweet_count","favoite_count","user"
"64"," theDDixit drjatinanand Ohh I thought his kind of Muslims were like Shahrukh Khan Never mind his words about respected Shiv Sena…",2016-10-23 19:12:49,TRUE,2,0,"drjatinanand"
"65"," theDDixit drjatinanand Ohh I thought his kind of Muslims were like Shahrukh Khan Never mind his words about respected Shiv Sena…",2016-10-23 19:12:26,TRUE,2,0,"simpleriyaz"
"66","drjatinanand Ohh I thought his kind of Muslims were like Shahrukh Khan Never mind his words about respected Shi… httpstconCVnDkf",2016-10-23 19:12:11,FALSE,2,1,"theDDixit"
"67"," breakfreeofbox iamsrk Ur sweet support of aliaa in DearZindagiTake makes us sing Love you Shahrukhji Enjoy my doll tribute ht…",2016-10-23 19:12:05,TRUE,7,0,"KingKhanClub1"
"68"," Squawka Cristiano Ronaldo has completed a takeon for the first time in  minutes of LaLiga action

Long overdue httpstcoPcEA…",2016-10-23 19:06:30,TRUE,476,0,"Shahrukh_SM11"
"69","When you are shahrukhs Fan 
iamsrk httpstcoCviKzl",2016-10-23 19:01:21,FALSE,0,0,"IamWsk1"
"70"," Alhamdhulillaah Quran and Sunnah our way to Jannah",2016-10-23 19:00:29,TRUE,217,0,"Shahrukh_SM11"
"71","This Town  NiallOfficial AcousticCover WeekendVibes
Full cover here httpstcofEBpXOMid httpstcoKzKgzOhgm",2016-10-23 18:58:18,FALSE,0,0,"shahrukh_sharif"
"72"," UpcomingSRKian Shahrukh Khan  YEARS OF TIMELESS DDLJ",2016-10-23 18:54:54,TRUE,1,0,"Cooldonsrk"
"73","Easy win for RM ",2016-10-23 18:53:20,FALSE,0,0,"Shahrukh_SM11"
"74","When you are shahrukhs Fan iamsrk httpstcoanVUHa",2016-10-23 18:51:27,FALSE,0,0,"IamWsk1"
"75","Why am I into this at am 
I think its just me fangirling over the Shahrukh of the sinitials httpstcohPlAhAxLH",2016-10-23 18:47:23,FALSE,0,0,"Weird_Chick18"
"76"," UpcomingSRKian During  t world cup final 
Shahrukh sir httpstcooXNyYKebX",2016-10-23 18:43:36,TRUE,6,0,"iamshafiuddin"
"77","BAAZISHAH iamsrk thanq bro <U+263A> Now waiting for shahrukh sirs rply",2016-10-23 18:33:28,FALSE,0,1,"Imsrk_fan_paul"
"78","Mahira Khan to complete shooting with Shahrukh Khan for Raees httpstcozBuknxDQp",2016-10-23 18:32:03,FALSE,0,1,"DrBarkatSoomro"
